date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:28	60599/60599	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:49:15%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/maps/jquery.vmap.world.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/maps/jquery.vmap.world.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:30	156720/156720	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:40%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/chart/chart.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/chart/chart.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:30	13029/13029	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:38:56%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/index-dark.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/index-dark.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:30	1303/1303	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:38:56%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/index-map.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/index-map.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:31	842/842	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:38:58%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/left-menu.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/left-menu.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:31	984560/984560	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:38:52%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/apexcharts.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/apexcharts.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:32	3614/3614	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:25%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidebar/sidebar.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:32	2048/2048	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:45:46%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/switcher/js/switcher.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/switcher/js/switcher.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:33	16893/16893	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:38:53%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/custom-dark.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/custom-dark.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:39	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2001:09:39%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/thumbnails/thumb2.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/thumbnails/thumb2.2e.delayed	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:41	159714/159714	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2012:42:15%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/thumbnails/media1.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/thumbnails/media1.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:44	260775/260775	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2012:39:51%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/banners/banner2.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/banners/banner2.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:45	190970/190970	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2012:39:53%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/banners/banner7.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/banners/banner7.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:46	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2001:09:46%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/products/b5.png	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/products/b5.png	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:47	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2001:09:46%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/photos/clouds.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/photos/clouds.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
02:09:47	128319/128319	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2012:41:45%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/photos/13.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/photos/13.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
